Name,Degree Type,Years of Experience,Speciality,Location,City,DP Score,NPV,Consult Fee
Dr. Sourabh Nagpal,BDS,19,Dentist,Vasant Vihar,Delhi,98,1665,500
Dr. Geetanjali Marya,BDS,37,Dentist,Greater Kailash Part 2,Delhi,98,98,800
Dr. Kapil Garg,BDS,19,Dentist,Pitampura,Delhi,99,407,500
Dr. Karan Marya,BDS,41,Dentist,Greater Kailash Part 2,Delhi,96,122,800
Dr. Amit Baranwal,BDS,25,Dentist,Dwarka Sector 6,Delhi,97,100,500
Dr. Radhika Sahni,MDS,28,Dentist,New Friends Colony,Delhi,99,338,1000
Dr. Ruchi Gupta,BDS,17,Dentist,Pitampura,Delhi,98,190,300
Dr. Aparna Singhal,BDS,16,Dentist,Punjabi Bagh,Delhi,98,202,400
Dr. Deepa Singh,BDS,19,Dentist,Mayur Vihar Ph-III,Delhi,99,193,400
Dr. Yash Anand,MDS,15,Dentist,Vikas Puri,Delhi,98,330,300
Dr. Anil Kochar,BDS,27,Dentist,Tilak Nagar,Delhi,98,248,500
Dr. Navneet Singh Kukreja,BDS,15,Dentist,Pitampura,Delhi,89,27,500
Dr. Neetu Kamra,BDS,26,Dentist,Pusa Road,Delhi,,,800
Dr. Ekta Narula,BDS,26,Dentist,New Rajendra Nagar,Delhi,98,151,600
Dr. Abhishek Kukreja,BDS,18,Dentist,Pitampura,Delhi,,,400
Dr. (Maj) Shubhashish Halder,BDS,27,Dentist,Kapashera,Delhi,100,45,300
Dr. Harsh Goyal,BDS,15,Dentist,Janakpuri,Delhi,100,513,500
Dr. Anil Kohli,BDS,47,Dentist,Lajpat Nagar,Delhi,97,887,1000
Dr. Shivani Kataria,BDS,11,Dentist,Patel Nagar West,Delhi,99,285,300
Dr. Aman Arora,BDS,32,Dentist,Ashok Vihar,Delhi,98,347,500
Dr. Asheesh Gupta,BDS,25,Dentist,Rohini,Delhi,95,368,250
Dr. Janak Raj Sabharwal,BDS,43,Dentist,Vikas Puri,Delhi,96,392,1000
Dr. Sachin Bansal,BDS,22,Dentist,Pitampura,Delhi,99,424,400
Dr. Animesh Agarwal,BDS,18,Dentist,Kingsway Camp,Delhi,99,2462,200
Dr. Nidhi Gupta,BDS,24,Dentist,New Friends Colony,Delhi,99,369,600
Dr. Amandeep Sapra,BDS,25,Dentist,Lajpat Nagar,Delhi,98,401,400
Dr. Dimple Arora,BDS,27,Dentist,Ashok Vihar,Delhi,100,233,500
Dr. Navin Pahwa,BDS,28,Dentist,Rohini,Delhi,91,66,500
Dr. Sushen Sharma,BDS,15,Dentist,Patel Nagar West,Delhi,99,149,300
Dr. Priya,BDS,16,Dentist,Pitampura,Delhi,,,500
